Cours;Intit.Complet
LCRIM2113;Médecine légale en criminologie 
LEDPH1001;Fondements des jeux et des sports collectifs 
LEDPH1002;Fondements des activités physiques et sportives 
LEDPH1022;Natation 2 
LEDPH1024;Jeux et sports collectifs 
LEDPH1030;Fondements théoriques de l'entraînement des activités physiques et sportives et apprentissage moteur 
LEDPH1031;Autodéfense 
LEDPH1032;Sports de raquettes et stage associé 
LEDPH1033;Sports d'endurance en plein air et stage associé 
LEDPH1041; Didactique de la danse et des activités d'expression
LEDPH1042;Didactique de la natation 
LEDPH1043; Didactique de l'athlétisme
LEDPH1044; Didactique des jeux et des sports collectifs
LEDPH1045; Didactique des sports acrobatiques
LEDPH1046;Développement psychomoteur tout au long de la vie 
LEDPH1048;Regards juridiques, économiques et institutionnels sur les activités physiques et sportives 
LEDPH1049;Dimension socio-historique et éthique des activités physiques et sportives 
LEDPH1052; De l'audace en sécurité à l'escalade et stage associé
LEDPH1053;Nature et activités physiques et sportives et stage associé 
LEDPH2100;Préparation au mémoire EDPH 
LEDPH2135; Relaxation
LEDPH2136;Pathologie du sportif 
LEDPH2137; Méthodologie de la recherche en motricité
LEDPH2155;Pratique individuelle et projet professionnel 
LEDPH2181;Préparation psychologique, communication, éthique et déontologie en sport 
LEDPH2182;Développement psycho-socio-moteur de l'enfant (compléments) 
LEDPH2183;L'intervention en psychomotricité (et stage d'observation) 
LEDPH2189; Intervention en éducation physique (plus stage)
LEDPH2199;Mémoire 
LEDPH2235;Physiologie de l'exercice appliquée à l'enfant, la femme et la personne agée 
LEDPH2237;Questions spéciales en sciences de la motricité 
LEDPH2246;Formation à la communication scientifique en sciences de l'éducation physique 
LEDPH2247;Projet de recherche en sciences de l'éducation physique 
LEDPH2280; Evaluation du sportif et stage associé
LEDPH2282;Questions spéciales en éducation psychomotrice (et stage) 
LEDPH2289;Stage et séminaire d'accompagnement et d'intégration des stages 
LEDPH2297;Préparation au mémoire MOTR 
LEDPH2299; Mémoire
LEDPH2330;Gestion de groupes d'adolescents et animation des équipes éducatives 
LEPHY1100;Fondements de l'activité physique et sportive 
LEPHY1103;Fondements des activités d'expression (parties A et B) 
LEPHY1104;Natation 1 (parties A et B) 
LEPHY1105;Sports collectifs 
LEPHY1106;Fondements de la gymnastique et des sports acrobatiques (parties A et B) 
LEPHY1107;Athlétisme 1 (parties A et B) 
LEPHY1108;Introduction à l'activité physique et santé 
LEPHY1109;Sport et société 
LEPHY1110;Fondements théoriques de l'entraînement 
LEPHY1221;Expression 
LEPHY1222;Natation 2 
LEPHY1223;Athlétisme 2 
LEPHY1224;Techniques douces 
LEPHY1225;Gymnastique et sports acrobatiques 
LEPHY1229;Techniques de la communication, de l'observation et de l'auto-évaluation en éducation physique 
LEPHY1230;Jeux et sports collectifs partie 1 
LEPHY1231;Jeux et sports collectifs partie 2 
LEPHY1248;Fondements économiques, institutionnels et juridiques du sport 
LEPHY1250;Autodéfense 
LEPHY1251;Badminton 
LEPHY1252;Triathlon 
LEPHY1253;Hockey 
LEPHY1254;Formation ou échange externe 
LEPHY1255;Activités physiques et sportives et nature 
LEPHY1330;Didactique des jeux et des sports collectifs partie 1 
LEPHY1331;Didactique des jeux et des sports collectifs partie 2 
LEPHY1337;Méthodologie de la recherche en motricité 
LEPHY1341;Didactique de la danse et des activités d'expression 
LEPHY1342;Didactique de la natation 
LEPHY1343;Didactique de l'athlétisme 
LEPHY1344;Promotion de la santé par l¿activité physique 
LEPHY1345;Didactique des sports acrobatiques 
LEPHY1346;Développement de la personne tout au long de la vie 
LEPHY1347;Fondements de l¿apprentissage moteur 
LEPHY1348;Introduction au management du sport 
LEPHY1349;Dimension socio-historique des activités physiques et sportives 
LEPHY1350;Escalade 
LEPHY1351;Tennis 
LEPHY1352;Sports acrobatiques 
LEPHY1353;Etudiant moniteur 
LEPHY1354;Approfondissement des activités de danse et d¿expression 
LEPHY1355;Formation ou échange externe 
LEPHY2100;Accompagnement du mémoire 
LEPHY2104;Éthique et déontologie dans le sport 
LEPHY2105;Communication 
LEPHY2106;Méthode de récolte de données en motricité 
LEPHY2108;Psychologie des activités physiques et sportives 
LEPHY2110;Stage 1 (150h) 
LEPHY2111;Stratégie des organisations sportives 
LEPHY2112;Professionnalisation des organisations sportives 
LEPHY2120;Questions spéciales en sciences de l¿exercice 
LEPHY2121;Entrainement des déterminants métaboliques de la performance 
LEPHY2122;Musculation et préparation physique 
LEPHY2123;Neurosciences et biomécanique appliquée : contrôle et apprentissage moteur 
LEPHY2130;Coopération socio-motrice et citoyenneté en contexte scolaire 
LEPHY2131;Développement des habiletés motrices et expression en contexte scolaire 
LEPHY2135;Didactique de l'éducation physique partie 1 
LEPHY2140;Gestion durable des infrastructures et événements sportifs 
LEPHY2141;Gestion des Ressources Humaines dans le sport 
LEPHY2142;Marketing et média du sport 
LEPHY2150;Stage mixte (120h) 
LEPHY2152;Data Science for Sports and Physical Activities 
LEPHY2160;Stage de recherche en sciences de la motricité partie 1 (300h) 
LEPHY2161;Séminaires dans le laboratoire d'accueil, partie 1 
LEPHY2200;Mémoire 
LEPHY2201;Nutrition des activités physiques et sportives 
LEPHY2202;Fondamentaux de l'entrepreneuriat dans le sport 
LEPHY2203;Projet interdisciplinaire en sciences de la motricité 
LEPHY2204;Théories des interventions sur les modes de vie physiquement actifs 
LEPHY2211;Gouvernance et leadership dans le sport 
LEPHY2212;Contemporary issues in sport management 
LEPHY2220;Sports analytics 
LEPHY2221;Guest speaker 
LEPHY2222;Stage spécifique (225h) 
LEPHY2230;Approches inclusives en éducation physique et à la santé 
LEPHY2231;Planification et utilisation du numérique en éducation physique et à la santé 
LEPHY2235;Didactique de l'éducation physique partie 2 
LEPHY2236;Stage long (130 hrs) et séminaire d¿accompagnement en éducation physique 
LEPHY2237;Séminaire d'accompagnement du travail intégré et travail intégré 
LEPHY2238;Séminaire d'accompagnement du mémoire 
LEPHY2239;Mémoire 
LEPHY2240;International sport policy and politics 
LEPHY2241;Stage 2 (260h) 
LEPHY2251;Éducation psychomotrice chez l'enfant 
LEPHY2252;Prévention, pathologie et réathlétisation 
LEPHY2255;Physiologie de l¿enfant, de la femme et de la personne âgée 
LEPHY2260;Stage de recherche en sciences de la motricité partie 2 (300h) 
LEPHY2261;Séminaires dans le laboratoire d'accueil, partie 2 
LFILO2402;Séminaire de bioéthique et d'éthique biomédicale 
LFILO2790;Questions approfondies de bioéthique (A) 
LFILO2791;Questions approfondies de bioéthique (B) 
LFILO2806;Stage d'observation et rapport d'éthique clinique 
LFSM1003;Anatomie du système locomoteur et analyse du mouvement 
LFSM1101;Chimie générale et biomolécules 
LFSM1102;Anatomie générale, systématique et fonctionnelle 
LFSM1103;Esprit critique et posture scientifique 
LFSM1104; Biologie et éléments d'histologie
LFSM1109;Biomécanique et analyse du système locomoteur 
LFSM1201;Physiologie cellulaire et biochimie 
LFSM1202;Physiologie des systèmes 
LFSM1203;Fondements de neurophysiologie 
LFSM1300;Physiologie de l'exercice 
LFSM1314;Activités physiques et sportives adaptées 
LIEPR1021;Physiologie cellulaire 
LIEPR1023; Sauvetage, réanimation et urgence de terrain
LIEPR1024;Fondements neurophysiologiques et neuropsychologiques du contrôle et de l'apprentissage moteurs 
